Order Name,Created at,Email,Customer Name,Province,District,Total,Financial Status,Is New Customer
#SHF1001,2025-11-02 19:07:42,cust071@outlook.com,Bùi Lan,Bình Dương,Thuận An,4650276,paid,True
#SHF1002,2025-11-02 13:30:40,cust099@yahoo.com,Trần Linh,Hà Nội,Hoàn Kiếm,2882357,paid,True
#SHF1003,2025-11-04 13:27:06,cust007@yahoo.com,Nguyễn Thảo,TP.HCM,Quận 1,3987124,paid,True
#SHF1004,2025-11-04 13:05:04,cust084@yahoo.com,Đinh Minh,Hà Nội,Long Biên,2745131,refunded,True
#SHF1005,2025-11-05 18:24:37,cust020@outlook.com,Bùi Phúc,Hà Nội,Cầu Giấy,4746049,paid,True
#SHF1006,2025-11-06 17:05:10,cust042@hotmail.com,Vũ Minh,TP.HCM,Quận 3,591865,paid,True
#SHF1007,2025-11-07 20:51:08,cust097@hotmail.com,Hoàng Tuấn,Hà Nội,Long Biên,4544588,paid,True
#SHF1008,2025-11-08 14:23:51,cust084@yahoo.com,Đinh Minh,Hà Nội,Long Biên,1572200,paid,False
#SHF1009,2025-11-08 14:53:29,cust055@hotmail.com,Đinh Linh,TP.HCM,Gò Vấp,2620473,paid,True
#SHF1010,2025-11-09 18:47:46,cust028@hotmail.com,Bùi Minh,TP.HCM,Quận 3,3000856,paid,True
#SHF1011,2025-11-09 19:06:05,cust009@outlook.com,Vũ Thảo,Cần Thơ,Ninh Kiều,3406158,paid,True
#SHF1012,2025-11-10 12:34:17,cust079@yahoo.com,Đinh Trang,TP.HCM,Quận 3,4568472,paid,True
#SHF1013,2025-11-12 20:21:37,cust054@gmail.com,Hoàng Minh,Hà Nội,Cầu Giấy,1722869,paid,True
#SHF1014,2025-11-13 12:18:36,cust104@outlook.com,Đỗ Lan,Hà Nội,Tây Hồ,2783869,paid,True
#SHF1015,2025-11-13 19:56:42,cust058@outlook.com,Nguyễn Tuấn,TP.HCM,Quận 1,3625354,paid,True
#SHF1016,2025-11-15 17:34:56,cust115@yahoo.com,Lê Long,Bình Dương,Thuận An,4582494,paid,True
#SHF1017,2025-11-15 20:34:34,cust118@hotmail.com,Lê Thảo,TP.HCM,Bình Thạnh,1929551,paid,True
#SHF1018,2025-11-15 07:28:34,cust009@outlook.com,Vũ Thảo,Cần Thơ,Ninh Kiều,2781020,paid,False
#SHF1019,2025-11-17 14:43:25,cust041@gmail.com,Nguyễn Mai,Đà Nẵng,Hải Châu,3256944,paid,True
#SHF1020,2025-11-18 12:31:49,cust005@hotmail.com,Phạm Hương,Hà Nội,Đống Đa,2787623,refunded,True
#SHF1021,2025-11-18 12:28:18,cust024@gmail.com,Ngô Mai,TP.HCM,Thủ Đức,1414032,paid,True
#SHF1022,2025-11-19 16:39:46,cust043@outlook.com,Phạm Lan,Hà Nội,Cầu Giấy,4482588,paid,True
#SHF1023,2025-11-21 15:40:28,cust002@gmail.com,Nguyễn Long,TP.HCM,Quận 3,2067438,paid,True
#SHF1024,2025-11-21 09:18:35,cust075@hotmail.com,Phạm Minh,Cần Thơ,Ninh Kiều,1417559,paid,True
#SHF1025,2025-11-22 17:10:21,cust059@hotmail.com,Hồ Tuấn,Đà Nẵng,Hải Châu,1135605,paid,True
#SHF1026,2025-11-23 13:20:24,cust095@hotmail.com,Hoàng Anh,Khánh Hòa,Nha Trang,1315131,paid,True
#SHF1027,2025-11-23 20:48:30,cust039@outlook.com,Phạm Thảo,Tiền Giang,Mỹ Tho,567661,partially_refunded,True
#SHF1028,2025-11-23 08:15:58,cust043@outlook.com,Phạm Lan,Hà Nội,Cầu Giấy,2578007,paid,False
#SHF1029,2025-11-24 11:32:23,cust007@yahoo.com,Nguyễn Thảo,TP.HCM,Quận 1,1807506,refunded,False
#SHF1030,2025-11-27 13:02:45,cust116@outlook.com,Vũ Phúc,TP.HCM,Thủ Đức,2471206,paid,True
#SHF1031,2025-11-27 14:30:57,cust060@yahoo.com,Vũ Phúc,Long An,Tân An,3401614,refunded,True
#SHF1032,2025-11-27 14:08:48,cust018@outlook.com,Lê Bình,Long An,Đức Hoà,3466422,paid,True
#SHF1033,2025-11-28 15:46:56,cust060@yahoo.com,Vũ Phúc,Long An,Tân An,4208654,paid,False
#SHF1034,2025-11-30 23:35:59,cust122@hotmail.com,Trần Thảo,Hà Nội,Hoàn Kiếm,618033,paid,True
#SHF1035,2025-11-30 03:40:19,cust022@gmail.com,Lê Bình,Hà Nội,Cầu Giấy,1130265,paid,True
#SHF1036,2025-12-01 23:12:35,cust112@yahoo.com,Bùi Lan,Bình Dương,Thủ Dầu Một,3210309,paid,True
#SHF1037,2025-12-03 13:16:03,cust013@outlook.com,Hoàng Tuấn,Hà Nội,Hoàn Kiếm,3418258,paid,True
#SHF1038,2025-12-04 16:48:26,cust106@gmail.com,Trần Long,Hà Nội,Hoàn Kiếm,1715502,paid,True
#SHF1039,2025-12-05 18:24:24,cust110@hotmail.com,Nguyễn Trang,Tiền Giang,Mỹ Tho,1921796,paid,True
#SHF1040,2025-12-05 22:22:59,cust038@hotmail.com,Phạm Minh,Bình Dương,Thủ Dầu Một,3262779,paid,True
#SHF1041,2025-12-06 02:04:05,cust060@yahoo.com,Vũ Phúc,Long An,Tân An,2819049,partially_refunded,False
#SHF1042,2025-12-06 10:21:27,cust104@outlook.com,Đỗ Lan,Hà Nội,Tây Hồ,4220464,partially_refunded,False
#SHF1043,2025-12-06 10:27:06,cust045@yahoo.com,Hoàng Anh,Cần Thơ,Bình Thuỷ,2692614,partially_refunded,True
#SHF1044,2025-12-08 20:44:20,cust112@yahoo.com,Bùi Lan,Bình Dương,Thủ Dầu Một,1270173,paid,False
#SHF1045,2025-12-08 14:12:40,cust093@gmail.com,Nguyễn Thảo,TP.HCM,Thủ Đức,3169355,paid,True
#SHF1046,2025-12-08 12:36:16,cust014@outlook.com,Đỗ Linh,Long An,Tân An,3912504,partially_refunded,True
#SHF1047,2025-12-11 09:42:09,cust109@outlook.com,Nguyễn Anh,TP.HCM,Bình Thạnh,967010,paid,True
#SHF1048,2025-12-13 14:18:46,cust003@outlook.com,Đinh Anh,Hà Nội,Long Biên,2155016,partially_refunded,True
#SHF1049,2025-12-14 16:51:12,cust016@outlook.com,Ngô Long,Bình Dương,Thuận An,2197900,partially_refunded,True
#SHF1050,2025-12-14 12:07:14,cust068@gmail.com,Vũ Trang,Khánh Hòa,Nha Trang,4721038,refunded,True
#SHF1051,2025-12-14 13:37:19,cust106@gmail.com,Trần Long,Hà Nội,Hoàn Kiếm,1423875,paid,False
#SHF1052,2025-12-16 23:48:06,cust067@outlook.com,Ngô Anh,Khánh Hòa,Cam Ranh,2623221,paid,True
#SHF1053,2025-12-16 18:20:56,cust086@hotmail.com,Đỗ Bình,Hà Nội,Long Biên,4380993,refunded,True
#SHF1054,2025-12-16 12:23:43,cust101@hotmail.com,Ngô Trang,Hà Nội,Hoàn Kiếm,3068103,paid,True
#SHF1055,2025-12-16 12:54:19,cust027@gmail.com,Đặng Hà,Hà Nội,Đống Đa,581264,paid,True
#SHF1056,2025-12-18 20:18:47,cust034@yahoo.com,Vũ Trang,Đồng Nai,Long Thành,523275,paid,True
#SHF1057,2025-12-18 12:47:47,cust070@gmail.com,Trần Anh,Cần Thơ,Bình Thuỷ,3193714,partially_refunded,True
#SHF1058,2025-12-20 12:21:49,cust032@hotmail.com,Nguyễn Hương,Đồng Nai,Long Thành,2960072,paid,True
#SHF1059,2025-12-20 19:38:02,cust060@yahoo.com,Vũ Phúc,Long An,Tân An,1072735,paid,False
#SHF1060,2025-12-22 12:41:14,cust077@hotmail.com,Nguyễn Tuấn,TP.HCM,Tân Phú,2500609,paid,True
#SHF1061,2025-12-23 16:24:38,cust014@outlook.com,Đỗ Linh,Long An,Tân An,1412826,paid,False
#SHF1062,2025-12-24 16:47:51,cust068@gmail.com,Vũ Trang,Khánh Hòa,Nha Trang,3197143,partially_refunded,False
#SHF1063,2025-12-25 09:56:15,cust073@yahoo.com,Hoàng Minh,TP.HCM,Bình Thạnh,1362522,paid,True
#SHF1064,2025-12-26 18:34:51,cust109@outlook.com,Nguyễn Anh,TP.HCM,Bình Thạnh,1303692,paid,False
#SHF1065,2025-12-26 23:29:32,cust106@gmail.com,Trần Long,Hà Nội,Hoàn Kiếm,1661157,refunded,False
#SHF1066,2025-12-26 20:48:07,cust068@gmail.com,Vũ Trang,Khánh Hòa,Nha Trang,1814532,paid,False
#SHF1067,2025-12-28 13:53:50,cust083@outlook.com,Hồ Linh,Hà Nội,Đống Đa,921240,paid,True
#SHF1068,2025-12-28 08:49:09,cust109@outlook.com,Nguyễn Anh,TP.HCM,Bình Thạnh,4359744,paid,False
#SHF1069,2025-12-28 21:05:33,cust117@hotmail.com,Vũ Bình,TP.HCM,Thủ Đức,1444789,paid,True
#SHF1070,2025-12-30 12:51:15,cust008@outlook.com,Đỗ Tuấn,Hà Nội,Cầu Giấy,3607092,paid,True
#SHF1071,2025-12-30 13:01:15,cust038@hotmail.com,Phạm Minh,Bình Dương,Thủ Dầu Một,2713573,refunded,False
#SHF1072,2025-12-30 06:28:13,cust108@outlook.com,Ngô Minh,TP.HCM,Quận 3,1025893,refunded,True
#SHF1073,2025-12-31 19:08:02,cust007@yahoo.com,Nguyễn Thảo,TP.HCM,Quận 1,2755363,refunded,False
#SHF1074,2025-12-31 17:07:13,cust048@hotmail.com,Lê Tuấn,TP.HCM,Gò Vấp,4881514,partially_refunded,True
#SHF1075,2026-01-01 15:16:08,cust123@outlook.com,Ngô Tuấn,TP.HCM,Tân Phú,4648887,paid,True
#SHF1076,2026-01-01 14:53:46,cust025@gmail.com,Vũ Linh,Cần Thơ,Ninh Kiều,1707094,paid,True
#SHF1077,2026-01-01 19:02:50,cust010@outlook.com,Đỗ Trang,Cần Thơ,Ninh Kiều,2721192,refunded,True
#SHF1078,2026-01-02 09:27:08,cust085@gmail.com,Ngô Long,Hà Nội,Long Biên,1168406,paid,True
#SHF1079,2026-01-04 08:02:31,cust072@yahoo.com,Phạm Bình,Cần Thơ,Ninh Kiều,4168866,paid,True
#SHF1080,2026-01-04 09:13:30,cust031@hotmail.com,Phạm Trang,TP.HCM,Thủ Đức,3353406,refunded,True
#SHF1081,2026-01-04 19:02:02,cust016@outlook.com,Ngô Long,Bình Dương,Thuận An,1533255,refunded,False
#SHF1082,2026-01-06 05:27:17,cust111@yahoo.com,Hoàng Tuấn,TP.HCM,Thủ Đức,3552766,paid,True
#SHF1083,2026-01-07 20:23:22,cust001@outlook.com,Hồ Hà,Hà Nội,Đống Đa,1040677,paid,True
#SHF1084,2026-01-08 19:44:26,cust099@yahoo.com,Trần Linh,Hà Nội,Hoàn Kiếm,3594235,paid,False
#SHF1085,2026-01-09 11:43:11,cust023@hotmail.com,Đặng Mai,TP.HCM,Gò Vấp,1671459,paid,True
#SHF1086,2026-01-09 15:39:40,cust018@outlook.com,Lê Bình,Long An,Đức Hoà,3359653,paid,False
#SHF1087,2026-01-09 19:51:49,cust064@outlook.com,Hoàng Phúc,TP.HCM,Quận 1,2466197,paid,True
#SHF1088,2026-01-11 16:22:06,cust004@hotmail.com,Lê Linh,TP.HCM,Thủ Đức,887952,paid,True
