Name,Created at,Financial Status,Fulfillment Status,Total,Subtotal,Email
#SHF1001,2025-11-02 01:10:51,paid,fulfilled,4650276,4260009,tran775@outlook.com
#SHF1002,2025-11-02 07:42:06,paid,unfulfilled,2882357,2656324,do438@icloud.com
#SHF1003,2025-11-04 03:38:25,paid,fulfilled,3987124,3848593,tran699@yahoo.com
#SHF1004,2025-11-04 21:51:55,refunded,unfulfilled,2745131,2453602,tran530@icloud.com
#SHF1005,2025-11-05 19:54:40,paid,fulfilled,4746049,4426927,luu762@outlook.com
#SHF1006,2025-11-06 23:19:01,paid,unfulfilled,591865,547788,mai517@gmail.com
#SHF1007,2025-11-07 12:48:41,paid,fulfilled,4544588,4249330,truong455@hotmail.com
#SHF1008,2025-11-08 00:12:16,paid,fulfilled,1572200,1386098,bui190@icloud.com
#SHF1009,2025-11-08 17:56:04,paid,unfulfilled,2620473,2511700,mai646@hotmail.com
#SHF1010,2025-11-09 14:14:11,paid,fulfilled,3000856,2892497,truong549@hotmail.com
#SHF1011,2025-11-09 19:48:49,paid,fulfilled,3406158,3170663,ho234@gmail.com
#SHF1012,2025-11-10 18:44:35,paid,partial,4568472,4306692,dang888@gmail.com
#SHF1013,2025-11-12 00:51:40,paid,partial,1722869,1659165,dam828@yahoo.com
#SHF1014,2025-11-13 01:49:33,paid,fulfilled,2783869,2627002,dinh173@outlook.com
#SHF1015,2025-11-13 08:38:06,paid,fulfilled,3625354,3240082,luu360@gmail.com
#SHF1016,2025-11-15 01:38:37,paid,fulfilled,4582494,4270270,thai450@icloud.com
#SHF1017,2025-11-15 03:57:03,paid,fulfilled,1929551,1803366,cao779@outlook.com
#SHF1018,2025-11-15 15:01:42,paid,fulfilled,2781020,2553454,pham369@hotmail.com
#SHF1019,2025-11-17 19:31:32,paid,fulfilled,3256944,3081980,ho53@hotmail.com
#SHF1020,2025-11-18 03:43:16,refunded,fulfilled,2787623,2687527,pham745@outlook.com
#SHF1021,2025-11-18 16:32:55,paid,fulfilled,1414032,1362138,lieu746@yahoo.com
#SHF1022,2025-11-19 13:23:05,paid,fulfilled,4482588,4126560,thai416@yahoo.com
#SHF1023,2025-11-21 11:59:05,paid,fulfilled,2067438,1840415,lieu376@gmail.com
#SHF1024,2025-11-21 21:50:12,paid,fulfilled,1417559,1373098,ho796@gmail.com
#SHF1025,2025-11-22 13:26:21,paid,fulfilled,1135605,1085071,ho138@outlook.com
#SHF1026,2025-11-23 00:21:46,paid,fulfilled,1315131,1172070,ho336@yahoo.com
#SHF1027,2025-11-23 17:20:59,partially_refunded,fulfilled,567661,546587,dang672@icloud.com
#SHF1028,2025-11-23 18:35:09,paid,unfulfilled,2578007,2470480,do168@icloud.com
#SHF1029,2025-11-24 04:29:39,refunded,fulfilled,1807506,1675007,dinh702@gmail.com
#SHF1030,2025-11-27 03:05:43,paid,fulfilled,2471206,2306165,duong769@icloud.com
#SHF1031,2025-11-27 12:05:31,refunded,fulfilled,3401614,3115573,do805@icloud.com
#SHF1032,2025-11-27 18:36:52,paid,fulfilled,3466422,3067535,bui898@yahoo.com
#SHF1033,2025-11-28 12:43:14,paid,fulfilled,4208654,3830581,hoang684@outlook.com
#SHF1034,2025-11-30 15:20:06,paid,fulfilled,618033,588526,le833@gmail.com
#SHF1035,2025-11-30 15:26:42,paid,fulfilled,1130265,995104,truong17@outlook.com
#SHF1036,2025-12-01 15:10:08,paid,fulfilled,3210309,2921429,mai781@outlook.com
#SHF1037,2025-12-03 09:35:24,paid,fulfilled,3418258,3130560,ho707@yahoo.com
#SHF1038,2025-12-04 03:06:39,paid,unfulfilled,1715502,1592613,mai559@hotmail.com
#SHF1039,2025-12-05 13:07:18,paid,fulfilled,1921796,1850280,vu572@gmail.com
#SHF1040,2025-12-05 20:19:28,paid,fulfilled,3262779,2972950,le252@gmail.com
#SHF1041,2025-12-06 02:56:10,partially_refunded,fulfilled,2819049,2568790,do671@outlook.com
#SHF1042,2025-12-06 10:31:27,partially_refunded,partial,4220464,3994142,ho855@hotmail.com
#SHF1043,2025-12-06 10:45:34,partially_refunded,fulfilled,2692614,2479088,tran766@hotmail.com
#SHF1044,2025-12-08 05:40:54,paid,fulfilled,1270173,1143428,dinh569@hotmail.com
#SHF1045,2025-12-08 18:08:36,paid,fulfilled,3169355,2918087,tran563@outlook.com
#SHF1046,2025-12-08 22:30:44,partially_refunded,unfulfilled,3912504,3492602,duong606@gmail.com
#SHF1047,2025-12-11 08:15:58,paid,partial,967010,866319,duong441@icloud.com
#SHF1048,2025-12-13 04:48:41,partially_refunded,fulfilled,2155016,1993073,hoang283@hotmail.com
#SHF1049,2025-12-14 00:49:14,partially_refunded,fulfilled,2197900,2017020,thai854@gmail.com
#SHF1050,2025-12-14 07:23:03,refunded,fulfilled,4721038,4543225,hoang822@gmail.com
#SHF1051,2025-12-14 11:19:10,paid,fulfilled,1423875,1299450,dam288@icloud.com
#SHF1052,2025-12-16 03:37:37,paid,fulfilled,2623221,2445505,ngo439@outlook.com
#SHF1053,2025-12-16 12:24:07,refunded,fulfilled,4380993,4104568,le560@hotmail.com
#SHF1054,2025-12-16 22:50:47,paid,unfulfilled,3068103,2703546,mai995@outlook.com
#SHF1055,2025-12-16 23:46:19,paid,fulfilled,581264,546224,do411@hotmail.com
#SHF1056,2025-12-18 08:46:21,paid,fulfilled,523275,468866,truong327@gmail.com
#SHF1057,2025-12-18 20:07:38,partially_refunded,fulfilled,3193714,3086712,duong32@gmail.com
#SHF1058,2025-12-20 00:12:49,paid,fulfilled,2960072,2644468,tran773@outlook.com
#SHF1059,2025-12-20 04:02:12,paid,fulfilled,1072735,984037,cao466@outlook.com
#SHF1060,2025-12-22 13:21:05,paid,fulfilled,2500609,2219744,pham900@hotmail.com
#SHF1061,2025-12-23 22:37:40,paid,fulfilled,1412826,1370043,lieu160@hotmail.com
#SHF1062,2025-12-24 09:03:40,partially_refunded,fulfilled,3197143,2957988,cao500@hotmail.com
#SHF1063,2025-12-25 02:52:21,paid,fulfilled,1362522,1272029,pham386@yahoo.com
#SHF1064,2025-12-26 01:15:59,paid,fulfilled,1303692,1155119,duong686@outlook.com
#SHF1065,2025-12-26 08:00:17,refunded,partial,1661157,1573940,dinh367@icloud.com
#SHF1066,2025-12-26 12:10:46,paid,fulfilled,1814532,1631067,tran348@gmail.com
#SHF1067,2025-12-28 04:00:18,paid,fulfilled,921240,885150,duong961@yahoo.com
#SHF1068,2025-12-28 19:20:40,paid,unfulfilled,4359744,3917066,lieu499@outlook.com
#SHF1069,2025-12-28 21:02:19,paid,fulfilled,1444789,1296209,ho272@outlook.com
#SHF1070,2025-12-30 02:04:45,paid,partial,3607092,3186106,thai270@outlook.com
#SHF1071,2025-12-30 05:24:09,refunded,fulfilled,2713573,2503233,ngo719@outlook.com
#SHF1072,2025-12-30 17:27:47,refunded,partial,1025893,954937,do738@yahoo.com
#SHF1073,2025-12-31 10:05:45,refunded,fulfilled,2755363,2441014,tran105@hotmail.com
#SHF1074,2025-12-31 22:45:25,partially_refunded,unfulfilled,4881514,4636449,lieu136@hotmail.com
#SHF1075,2026-01-01 09:48:19,paid,fulfilled,4648887,4280676,luu210@outlook.com
#SHF1076,2026-01-01 18:50:09,paid,partial,1707094,1582809,duong809@hotmail.com
#SHF1077,2026-01-01 19:30:22,refunded,fulfilled,2721192,2502594,vu184@hotmail.com
#SHF1078,2026-01-02 20:53:41,paid,fulfilled,1168406,1070340,dam29@outlook.com
#SHF1079,2026-01-04 03:31:30,paid,partial,4168866,3878577,ho721@outlook.com
#SHF1080,2026-01-04 09:58:33,refunded,fulfilled,3353406,2997849,do315@outlook.com
